"filename", "language", "Docker", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\chart-manager\chart-manager.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 227, 35, 36, 298
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\chart-manager\chart-manager.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\chart-manager\chart-manager.component.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 14, 11, 101
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\affective-state\affective-state.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\affective-state\affective-state.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\affective-state\affective-state.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\affective-state\affective-state.component.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 8, 86
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clickstream-analysis\clickstream-analysis.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clickstream-analysis\clickstream-analysis.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clickstream-analysis\clickstream-analysis.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clickstream-analysis\clickstream-analysis.component.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 7, 64
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\clustering\clustering.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
